node1,node2
0,4221
0,4390
0,2664
0,6885
0,989
0,7387
1,11814
1,3869
1,11348
1,9023
1,7353
1,11190
1,13214
1,4562
1,5465
1,6106
1,7922
1,13175
1,11814
2,14185
2,6938
2,6938
2,6255
2,6826
2,10597
2,1870
2,6172
2,15364
2,12753
2,6938
2,15364
2,4388
2,5924
2,16173
2,3898
3,12931
3,11371
3,2748
3,12206
3,2498
5,10462
6,1985
6,10341
6,12388
6,8410
7,6466
10,12853
11,6513
12,4599
13,5279
13,7705
13,1121
13,11326
14,14271
15,3685
15,5696
15,1426
15,15551
15,5758
15,3685
15,6327
15,12835
17,4063
17,11576
17,9090
18,11926
19,12669
20,5002
20,5196
20,10246
20,15689
20,2502
20,7007
20,15815
20,7723
20,8559
20,4891
21,2507
21,7232
22,13393
22,837
22,242
24,1168
24,992
24,6718
24,2007
24,10653
24,10403
24,1980
24,10511
24,13170
24,15719
24,9859
24,9859
24,10511
24,10278
24,14077
24,3070
24,10511
27,14857
28,10014
28,9336
28,7375
28,5234
29,11118
29,1555
29,5012
29,11046
31,5151
31,5837
31,382
31,7868
31,2360
31,7868
34,7663
34,4580
34,8659
34,9565
34,1696
34,7182
34,300
34,14658
34,4186
34,4295
34,14337
34,873
34,2979
34,15390
34,11904
34,873
34,4598
34,14898
34,14356
34,11533
34,2055
34,3807
36,13529
36,14623
36,9468
36,7827
36,14080
36,14691
36,10536
36,9468
36,6561
36,13529
36,9821
36,8309
36,14080
36,14330
36,9431
36,16247
36,6139
36,9075
36,9468
36,3253
36,14648
36,14623
36,16247
36,13529
36,7759
36,454
36,1253
36,13529
36,2965
36,9797
36,7247
36,6796
37,6238
37,13313
38,3555
39,5612
39,9937
39,11540
39,4894
40,1069
40,13302
40,4994
40,7550
40,4119
40,1594
40,15417
40,10188
40,7550
41,10462
41,10462
42,12137
43,15764
43,7277
43,7629
43,3904
45,1842
46,16123
46,2269
47,3580
48,9124
49,11955
49,7827
49,8888
49,6773
49,11955
51,13393
51,11338
52,9704
52,2151
52,8496
52,11343
53,13354
53,13320
53,13354
53,9893
54,7916
55,7781
56,4949
56,16002
56,8031
56,13275
56,14860
56,14860
57,14353
57,11808
58,14207
58,12632
58,4905
58,11338
58,5012
58,8534
58,11427
58,14207
58,6210
58,14207
58,3513
58,14207
58,10187
58,2007
59,5705
59,9805
59,6694
59,2007
59,6203
59,1888
59,12633
59,14846
59,6957
59,10945
59,7388
59,15029
59,5345
59,14160
59,15007
59,3023
59,409
59,8714
59,2577
59,13861
59,11371
59,2594
59,12632
59,5383
59,3327
59,8483
59,12749
59,13989
59,9856
59,4925
59,2291
59,13080
59,15753
60,8396
61,6708
61,11046
62,10853
64,14013
64,13971
64,16168
64,9889
64,14933
64,11384
66,15007
66,4216
66,665
68,8005
68,14118
68,1178
68,14254
68,5633
68,3552
68,6874
68,334
69,5532
69,9645
70,10454
70,3826
71,13393
71,13393
71,2925
71,15561
71,10341
71,15988
71,4246
72,10462
73,2664
73,9396
74,7121
75,10653
76,5548
76,15316
77,10809
77,15044
77,1563
77,13305
77,11355
77,14662
77,13479
77,909
77,6641
77,9938
77,14206
77,1806
77,9832
79,5587
79,5587
79,10840
79,8647
79,4894
79,11540
80,7369
80,7369
81,7465
82,10951
82,2136
82,10951
83,15469
85,15760
85,11260
85,3807
85,12021
85,16138
85,10187
85,9100
86,4408
86,1364
86,12176
86,4902
88,7701
88,7701
88,14082
89,9372
89,9645
89,8916
90,11264
90,6568
90,943
90,13242
90,11989
90,10278
90,2255
90,10815
90,6568
90,15921
90,15672
91,4595
92,9304
92,14626
92,11502
93,4621
93,7387
93,627
93,428
93,15268
93,11002
93,2424
93,10462
94,9938
94,11200
94,9717
94,4159
95,10462
95,7964
95,13810
95,7964
95,5908
96,10462
96,4621
96,10462
97,10462
97,10462
98,14836
98,12603
98,2119
98,3825
98,906
98,12295
98,7338
98,15285
98,16002
98,15427
98,229
98,7007
98,9687
98,13374
98,10034
98,3422
98,4275
99,15440
99,10546
99,3276
99,10175
99,12890
99,10059
99,9223
99,728
99,597
101,11941
102,10385
104,12449
104,11286
105,10791
105,13275
105,7583
105,3393
105,12750
105,10428
105,115
107,10462
107,3621
107,4644
108,2714
108,10919
108,13490
108,7358
108,7009
108,2728
108,5633
108,5047
108,8444
108,11225
108,14439
108,13122
108,9085
108,10857
108,13242
108,5884
109,8447
110,16153
110,8772
111,5054
111,3237
111,7133
111,14329
111,787
111,15609
111,12619
112,733
112,8606
112,14263
112,15427
112,15651
112,6963
112,13275
112,5234
112,14860
112,12295
112,10810
112,9810
112,12386
112,733
113,6963
113,15611
113,9492
113,14626
113,11061
113,3472
113,3799
113,3055
113,9951
115,1708
115,10459
115,9273
115,845
115,2340
115,7223
115,7122
115,15034
115,989
115,10164
115,10428
115,4221
115,13275
115,9190
115,2340
115,5139
115,10428
115,10234
115,4522
115,13677
115,14304
115,1699
116,1305
116,12103
116,3941
116,11533
116,14659
116,9493
116,14917
117,3248
117,4239
117,7790
117,9832
117,12113
117,8436
117,1270
117,15932
117,9058
117,11115
117,15508
117,14131
117,15932
117,7091
117,9955
117,8436
117,7754
117,12572
117,13368
117,11001
117,8920
117,11115
117,15508
117,904
117,621
118,5312
118,13867
118,3985
118,944
118,15325
118,11430
118,7505
118,8555
119,15680
119,14980
119,2462
119,14927
119,14691
119,7827
119,14080
119,3981
119,6106
119,15915
119,14691
119,2680
119,3416
119,4620
119,15507
119,2634
119,15476
119,5350
119,40
119,2363
119,3759
119,3424
119,6050
119,9117
119,13765
119,2405
119,6718
119,6561
119,12734
119,10155
119,15680
119,1253
120,14131
120,9226
120,1679
120,13214
120,13372
121,1780
121,5462
122,9741
122,15459
122,15675
122,1979
122,13318
122,12388
122,2109
122,6131
122,11678
123,3800
123,627
123,15424
1980,4865
1980,7922
1980,7293
1980,12817
1980,14132
1980,8813
1980,10844
1980,4994
1980,4994
1980,2959
1980,8444
1980,339
1980,12021
1980,7701
1980,13320
1980,14906
1980,13320
1980,13320
1980,13320
1980,13320
1980,13320
1980,7701
1980,13320
1980,433
1980,14544
1980,6923
1980,14544
1980,7701
1980,13320
1980,7701
1980,13320
126,6610
126,15471
127,6337
128,11684
129,15762
129,674
129,10424
129,7537
129,12713
130,874
130,7209
130,10945
130,10325
130,11593
130,1632
130,874
132,11293
132,5598
132,12609
132,13678
132,2379
132,8839
132,11293
132,13941
132,11619
132,12033
133,14439
134,12183
134,14908
134,9468
134,15007
134,11121
134,12183
134,6290
134,2608
134,3552
134,14908
134,6938
134,12679
134,3379
134,9431
134,3066
134,3552
135,14047
135,14176
135,3665
135,748
135,1538
135,3175
135,9272
135,10451
135,13574
137,7526
137,9736
137,12451
137,2381
138,4621
138,182
138,16153
138,9797
138,12555
138,8182
138,13205
140,8029
140,274
140,8230
140,4116
140,7111
140,11134
140,16002
140,10160
140,15551
140,9371
142,6327
142,3972
142,3844
142,15326
142,2267
142,8430
142,12386
142,4994
142,765
142,12386
142,11651
142,9799
142,11651
142,5642
143,9290
143,13369
143,3111
143,8387
143,11424
143,9518
143,1719
143,3896
143,10058
143,13971
145,1276
147,5588
149,12005
149,8824
149,10814
149,12696
149,5171
149,14860
149,9864
149,9027
149,8822
149,10665
149,4221
149,10810
149,10665
149,1696
149,14364
149,11929
149,5033
149,8038
149,14860
149,944
149,4186
149,9864
149,3118
149,10810
149,4351
149,9864
149,9472
149,5264
