id,label
25921,3
27512,3
26248,3
33204,3
6997,0
32920,3
11072,0
8866,1
13771,1
16832,3
14589,1
22822,3
12600,0
2173,2
14895,0
20738,3
15757,1
7647,1
8184,0
7745,1
2514,1
31223,3
34217,3
23465,3
508,2
12544,2
15800,1
5571,0
12248,0
32579,3
18361,3
5261,1
31501,3
25593,3
33637,3
28552,3
15041,0
27308,3
30007,3
30246,3
34073,3
23487,3
33107,3
9632,0
33819,3
18886,3
16399,3
26082,3
24602,3
9308,1
6288,0
8535,0
31224,3
24910,3
25212,3
13485,0
32897,3
16440,3
14046,2
10777,0
32963,3
19420,3
31136,3
5880,2
14185,0
3173,1
13495,0
32352,3
28689,3
26026,3
19253,3
14587,0
1267,0
19174,3
9377,0
25307,3
10845,0
25116,3
32752,3
33673,3
29303,3
15355,0
28326,3
31080,3
3797,1
1623,0
10939,0
24162,3
27261,3
17090,3
12955,0
7214,2
16065,0
8251,1
1844,2
14610,0
1023,1
344,0
22384,3
23887,3
28803,3
24365,3
19978,3
8559,0
10570,0
3925,0
7143,1
23367,3
16328,3
21505,3
12479,1
33718,3
5951,0
7519,0
4467,2
15360,2
11792,2
11958,0
26462,3
20361,3
9265,2
33535,3
33897,3
27172,3
1082,1
30222,3
22809,3
11308,0
14791,0
24617,3
30764,3
33396,3
12249,0
1695,0
4143,0
641,0
1731,1
29941,3
664,0
14833,0
31061,3
20078,3
17974,3
25766,3
7458,1
21318,3
5939,0
32666,3
30215,3
14604,0
1307,0
17694,3
14548,2
22753,3
4023,1
16356,3
3211,0
19647,3
29330,3
2894,0
22174,3
33289,3
9086,1
16176,2
10776,2
2454,2
3620,0
6852,0
34208,3
6807,0
28601,3
4682,0
30769,3
24605,3
13750,0
32852,3
9005,0
3587,1
17216,3
17291,3
21720,3
29168,3
32651,3
18312,3
6411,0
23403,3
13944,0
17170,3
4147,0
14441,0
18318,3
24472,3
25796,3
2959,1
24430,3
22867,3
31345,3
4917,1
20095,3
15852,0
19849,3
6040,0
29278,3
17303,3
25040,3
3371,0
8552,1
3428,2
6679,0
14630,2
18959,3
18577,3
7392,0
4548,1
4217,1
2055,0
28432,3
128,0
17178,3
5335,0
15492,0
9303,0
15669,0
21745,3
29699,3
11010,0
21626,3
10781,0
5185,1
20691,3
9787,0
30310,3
33533,3
4513,0
12070,0
24211,3
8237,0
9272,0
12396,0
21868,3
16087,0
17197,3
9638,0
2812,2
14466,0
18653,3
26360,3
29231,3
28355,3
15987,0
16917,3
17094,3
33044,3
32362,3
10333,2
6693,0
27866,3
10553,0
24124,3
31911,3
19162,3
21006,3
5493,2
20508,3
22394,3
6190,0
12886,1
11402,0
29040,3
27184,3
509,1
15543,0
13881,0
3144,0
12900,0
8891,0
33951,3
18133,3
24927,3
25065,3
29623,3
6677,0
28850,3
30247,3
32576,3
20379,3
1193,0
27236,3
11913,0
4354,0
25110,3
29425,3
7085,2
5117,0
30979,3
22208,3
3333,1
28175,3
5275,2
24572,3
34244,3
30902,3
29487,3
8451,0
27006,3
25096,3
3713,1
449,2
6247,0
19094,3
25782,3
30084,3
5356,0
27642,3
9650,0
22747,3
22083,3
23460,3
969,0
21274,3
16212,2
19674,3
6465,0
15321,0
3107,0
23762,3
7314,1
28783,3
34081,3
7265,0
3801,0
23631,3
8705,2
10329,0
19097,3
23115,3
20951,3
30712,3
31828,3
6008,2
16745,3
33256,3
603,2
27568,3
29365,3
21688,3
18018,3
23205,3
12582,0
17299,3
18905,3
464,1
16135,1
11094,0
5208,2
21102,3
18107,3
26732,3
8053,1
27032,3
24015,3
5622,1
7812,2
12431,1
23324,3
29655,3
16364,3
24224,3
17605,3
22036,3
11370,1
14652,0
18493,3
18500,3
15422,0
8203,0
10938,1
28075,3
31973,3
31429,3
