id,name,text,label
21687,"""The Perfect Furlough""",1958 films;American films;Comedy films;English-language films;French-language films;Films directed by Blake Edwards;,3
15781,"""Vicky Jenson""",American animators;Living people;Year of birth missing (living people);,0
5205,"""Billy Burke ""","1966 births;American film actors;American television actors;Living people;People from Bellingham, Washington;Washington actors;",0
14310,"""Giovonnie Samuels""","1985 births;African American actors;American child actors;American film actors;American television actors;American voice actors;California actors;Living people;People from San Diego, California;",0
21211,"""To Walk with Lions""",1999 films;Canadian films;Kenyan films;English-language films;Canadian drama films;Films based on non-fiction books;,3
25954,"""Mac and Me""",1988 films;Adventure films;Comedy science fiction films;Alien visitation films;Children's fantasy films;American films;Orion Pictures films;,3
18676,"""Dangerous """,1935 films;American drama films;1930s drama films;Films directed by Alfred E. Green;Films featuring a Best Actress Academy Award winning performance;Black and white films;English-language films;Warner Bros. films;,3
17843,"""The Hospital""",1971 films;Black comedy films;Medical-themed films;English-language films;American films;United States National Film Registry films;Films whose 1 won the Best Original Screenplay Academy Award;,3
4150,"""Charles Winninger""",1884 births;1969 deaths;American stage actors;American film actors;Vaudeville performers;,0
4138,"""Danny Denzongpa""","Indian actors|Denzongpa, Danny;Padma Shri recipients|Denzongpa, Danny;1948 births|Denzongpa, Danny;Living people|Denzongpa, Danny;People from Sikkim;Hindi film actors;Indian film actors;Indian television actors;Film and Television Institute of India alumni;",0
11448,"""Gerald Drayson Adams""",Canadian screens;1900 births;1988 deaths;,1
21538,"""Anything Goes  """,1936 films;American films;Black and white films;Compositions by Cole Porter;English-language films;Films directed by Lewis Milestone;Musical films;Works derived from P. G. Wodehouse;,3
12821,"""Alan Schneider""",1917 births;1984 deaths;American theatre ;Tony Award winners;,2
9189,"""Craig Hill""",Alumni of Queen Margaret University;Living people;Scottish comedians;Year of birth missing (living people);Edinburgh Comedy Festival;,0
31526,"""The World Unseen""",2007 films;British films;Drama films;English-language films;LGBT-related films;South African films;,3
32924,"""Carmen: A Hip Hopera""",2000s drama films;2000s films;2001 films;2001 television films;African American films;American films;American television films;Beyoncé Knowles;Drama films;English-language films;Hip hop films;Romance films;,3
1197,"""Shawnee Smith""",1970 births;American film actors;American television actors;Living people;People from South Carolina;,0
15033,"""Phil Nibbelink""",American animators;Living people;Year of birth missing (living people);,0
21690,"""The Treasure of the Sierra Madre """,1948 films;American films;English-language films;Black and white films;Films based on novels;Films directed by John Huston;Films featuring a Best Supporting Actor Academy Award winning performance;Films set in Mexico;Films whose  won the Best  Academy Award;Films whose  won the Best  Golden Globe;Films whose 1 won the Best Adapted Screenplay Academy Award;United States National Film Registry films;Warner Bros. films;,3
18863,"""Die Screaming, Marianne""",1971 films;English-language films;British films;Films directed by Pete Walker;,3
2092,"""Antony Carbone""",1927 births;Living people;American film actors;American television actors;,0
687,"""Dean Cameron""",American film actors;American television actors;American libertarians;American atheists;Illinois actors;,0
11047,"""Jan Schweiterman""",American film actors;,0
531,"""Michael Pitt""","American film actors;American atheists;New Jersey actors;People from West Orange, New Jersey;",0
16920,"""Joe Versus the Volcano""",1990 films;1990s romantic comedy films;Amblin Entertainment films;English-language films;Fantasy-comedy films;Films shot anamorphically;Warner Bros. films;,3
23135,"""The Big Town  """,1987 films;American films;English-language films;Crime drama films;Crime thriller films;Gambling films;Romantic drama films;Romantic period films;Films based on novels;Films based on romance novels;Films set in the 1950s;Columbia Pictures films;,3
1190,"""Will Rogers, Jr.""",1911 births;1993 deaths;Actors who committed suicide;American military personnel of World War II;American film actors;Americans of Cherokee descent;Members of the United States House of Representatives from California;Native American ;People from New York City;Politicians who committed suicide;United States Army officers;American actor-politicians;,1
6310,"""Stuart Baird""",English film editors;A.C.E.;English film ;English film producers;,2
932,"""Richard Masur""",1948 births;American film actors;American labor leaders;American soap opera actors;American television actors;Living people;People from New York City;Yale University alumni;,0
815,"""Gee Money""",African American actors;American radio personalities;Living people;People from Staten Island;,0
13785,"""William Butler """,American film actors;American film ;Living people;Year of birth missing (living people);,2
29731,"""Cash Rules """,2008 films;American films;Crime films;Hood films;English-language films;Hussein Fatal;,3
28115,"""Alice in Wonderland  """,1988 films;Animated films;Alice in Wonderland derivatives and adaptations;Fantasy films;Films based on children's books;Fantasy adventure films;English-language films;,3
328,"""Hendrik Willem van Loon""",1882 births;1944 deaths;American journalists;American historians;American illustrators;American children's ;Cornell University alumni;Cornell University faculty;Dutch Americans;Dutch children's ;Dutch historians;Dutch illustrators;Dutch journalists;People from Rotterdam;Newbery Medal winners;,1
17536,"""Mindhunters""",2004 films;American films;English-language films;Psychological thriller films;Slasher films;2000s thriller films;Film remakes;Films directed by Renny Harlin;,3
24996,"""The Wild Parrots of Telegraph Hill""",Parrots;2005 films;Films set in San Francisco;Films shot in San Francisco;Nature documentaries;,3
25108,"""Something Big""",1971 films;,3
8777,"""Paloma Baeza""",English film actors;1974 births;Living people;British people of Mexican descent;,0
11096,"""Elizabeth Jane Howard""",1923 births;Living people;People from London;English novelists;Commanders of the Order of the British Empire;Fellows of the Royal Society of Literature;,1
